Frame,Detected Brand,Category
1,N/A,N/A
2,N/A,N/A
3,N/A,N/A
4,N/A,N/A
5,Kurkure,Food & Beverages
2,NIVEA,Personal Care
4,Kurkure,Food & Beverages
1,N/A,N/A
2,NIVEA,Personal Care
2,Kurkure,Food & Beverages
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Epigamia,Food & Beverages
5,NIVEA,Personal Care
1,N/A,N/A
1,Bailley,Food & Beverages
1,Bailley,Food & Beverages
2,N/A,N/A
1,N/A,N/A
1,N/A,N/A
1,N/A,N/A
1,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,NIVEA,Personal Care
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,NIVEA,Personal Care
5,N/A,N/A
1,N/A,N/A
1,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
9,NIVEA,Personal Care
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
9,NIVEA,Personal Care
10,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
9,NIVEA,Personal Care
10,N/A,N/A
11,NIVEA,Personal Care
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
9,NIVEA,Personal Care
10,N/A,N/A
11,NIVEA,Personal Care
12,N/A,N/A
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
9,NIVEA,Personal Care
10,N/A,N/A
11,NIVEA,Personal Care
12,N/A,N/A
13,NIVEA,Personal Care
1,N/A,N/A
2,Kurkure,Food & Beverages
3,N/A,N/A
4,Lakme,Personal Care
5,N/A,N/A
6,Veeba,Food & Beverages
7,Epigamia,Food & Beverages
8,Beardo,Personal Care
9,NIVEA,Personal Care
10,N/A,N/A
11,NIVEA,Personal Care
12,N/A,N/A
13,NIVEA,Personal Care
14,N/A,N/A
1,N/A,N/A
